"","Name","DriveAcc","DriveDist","Money","Score2","Putts","ApproachDist","PuttsMadeDist","ClubSpeed","OnePuttPerc","Score1"
"146","Zach Johnson","66.59","287.5","$603,160","70.50","28.39","160.7","5' 5""","108.79","40.28","68.50"
"147","Roberto Diaz","67.85","287.4","$620,178","70.31","28.92","158.0","3' 11""","107.93","38.15","71.07"
"148","Brice Garnett","71.45","287.4","$1,019,594","70.09","29.45","160.0","4' 1""","110.70","33.93","69.46"
"149","Ben Silverman","67.97","287.2","$298,497","70.74","29.35","161.2","4' 9""","110.20","40.56","70.10"
"150","Brandt Snedeker","63.25","287.2","$3,122,936","70.16","28.33","163.6","3' 10""","108.80","42.66","70.50"
"151","Chez Reavie","75.72","287.0","$3,660,909","69.83","28.73","162.2","3' 11""","107.84","38.49","69.21"
"152","Andrew Landry","71.72","286.8","$887,405","70.51","28.89","155.8","3' 10""","107.59","35.83","70.35"
"153","Kevin Kisner","69.39","286.4","$3,489,144","70.05","28.66","159.1","4' 6""","110.98","45.63","68.86"
"154","Rod Pampling","62.76","286.4","$102,127","71.58","29.65","171.7","4' 3""","113.93","36.75","71.31"
"155","Aaron Baddeley","57.74","286.3","$904,982","70.42","27.80","157.9","4' 1""","113.15","39.68","69.00"
"156","Kyoung-Hoon Lee","66.01","286.2","$1,061,457","70.76","29.39","167.9","4' 3""","110.59","38.67","70.60"
"157","Pat Perez","65.28","286.1","$1,103,241","70.47","28.55","174.0","4' 4""","115.44","40.40","70.23"
"158","Graeme McDowell","62.69","285.9","$1,671,523","70.42","28.52","170.2","5' 4""","111.19","38.49","69.07"
"159","Freddie Jacobson","60.62","285.3","$144,500","71.37","28.86","159.9","4' 3""","113.77","34.26","72.83"
"160","C.T. Pan","64.77","285.0","$2,362,399","70.56","28.71","168.0","3' 9""","116.21","39.53","70.04"
"161","Ernie Els","59.27","284.7","$304,590","71.10","29.10","160.1","4' 9""","111.92","35.42","69.75"
"162","Whee Kim","62.07","284.3","$292,773","71.51","29.38","162.6","4' 8""","110.28","41.00","70.55"
